customer_id,fc_segment,recommendation_1,most_frequent_item
6C2FA988251C4F35BD0A180313615250,Potenciales,17432,23610
37908B3B6309B1549E7F000001615250,Potenciales,17919,24
6C9B6E83AE56B1542F0A180313615250,Potenciales,3213,23756
5A266B728F42350EE30A180313615250,Potenciales,30604,25
5E5F010D2A5E54EE990A180313615250,Potenciales,30604,2899
323BA3B4676DBA58D07F000001615250,Potenciales,31733,23756
4DB9C2CFC1641B18D80A180313615250,Potenciales,17919,5329
378FAEBD790EBDE59A7F000001615250,Potenciales,30604,23563
52E6ED49441732D75A0A180313615250,Potenciales,28363,27726
5877C612F925FFEA830A180313615250,Potenciales,18470,2
3703FDDFA711BC10CA7F000001615250,Potenciales,26257,307
3380E6FC714221148F7F000001615250,Potenciales,30941,29383
6425E420C4267C1E540A180313615250,Potenciales,6585,6524
6D4C544D22349054880A180313615250,Potenciales,30941,21239
6B447A8D6C61B0D1960A180313615250,Potenciales,30604,31177
323C2820D75577532F7F000001615250,Potenciales,24596,109
5F5AF2C59650FE98930A180313615250,Potenciales,34114,82
378FC344F715ECB80E7F000001615250,Potenciales,24596,7520
5D9ADC4A6B4D6E7A920A180313615250,Potenciales,34113,23784
370E35DDF00CB5EB687F000001615250,Potenciales,30941,22437
5E8637EA6753071F350A180313615250,Potenciales,2,28030
431328884F2D1EA5B47F000001615250,Potenciales,34218,30058
3CEDA4E7E440DB2D0B7F000001615250,Potenciales,17919,97626
3FF229248763C445507F000001615250,Potenciales,34113,2
5330B9575C3493ED560A180313615250,Potenciales,25174,23565
323B8CF99D69A7DB037F000001615250,Potenciales,307,27307
4D4832F9A81C9E1DD70A180314615250,Potenciales,18470,3559
323B5440FC1ECB100B7F000001615250,Potenciales,19206,20517
32785E05711EE734E77F000001615250,Potenciales,30604,30025
3A9033C6DE7661C0497F000001615250,Potenciales,307,23855
68E02279A46F87AA070A180313615250,Potenciales,307,70
4FAEE7087E16B0FCDB0A180313615250,Potenciales,4180,64
5FE21B7B3B2FF5844A0A180313615250,Potenciales,307,28907
37903452E77CB27B957F000001615250,Potenciales,17495,2882
6BDF7D29FE09C270120A180313615250,Potenciales,25174,6067
37906C26181A51269C7F000001615250,Potenciales,307,20488
3E8BD63A85677A06E97F000001615250,Potenciales,30941,20497
4270ACF6577B93CA957F000001615250,Potenciales,34114,35417
327797DA3F2F04ADBF7F000001615250,Potenciales,6752,22365
508808E0731A841E070A180313615250,Potenciales,17495,4173
4C2EA8722816367F7F0A180313615250,Potenciales,30604,393
5E17577172043F59670A180313615250,Potenciales,3213,1360
3C6F0567A9428972967F000001615250,Potenciales,34370,24
6A89CC2F681AAE64320A180313615250,Potenciales,1360,22009
32385C3B4F779100DD7F000001615250,Potenciales,18566,32686
3234014ED954187D817F000001615250,Potenciales,18518,31062
385CB2C9BC71E009A67F000001615250,Potenciales,3213,391
